scenario,replicate,semester,cumulative_k
Small lab,0,1,0.923
Small lab,0,2,1.847
Small lab,0,3,2.793
Small lab,1,1,0.919
Small lab,1,2,1.873
Small lab,1,3,2.871
Small lab,2,1,0.916
Small lab,2,2,1.89
Small lab,2,3,2.754
Small lab,3,1,1.016
Small lab,3,2,1.924
Small lab,3,3,2.833
Small lab,4,1,0.951
Small lab,4,2,1.886
Small lab,4,3,2.818
Small lab,5,1,0.961
Small lab,5,2,1.859
Small lab,5,3,2.801
Small lab,6,1,0.949
Small lab,6,2,1.914
Small lab,6,3,2.832
Small lab,7,1,0.941
Small lab,7,2,1.879
Small lab,7,3,2.766
Small lab,8,1,0.92
Small lab,8,2,1.851
Small lab,8,3,2.727
Small lab,9,1,0.982
Small lab,9,2,1.958
Small lab,9,3,2.859
Small lab,10,1,0.865
Small lab,10,2,1.823
Small lab,10,3,2.707
Small lab,11,1,0.944
Small lab,11,2,1.799
Small lab,11,3,2.709
Small lab,12,1,0.927
Small lab,12,2,1.804
Small lab,12,3,2.77
Small lab,13,1,0.902
Small lab,13,2,1.828
Small lab,13,3,2.757
Small lab,14,1,0.899
Small lab,14,2,1.793
Small lab,14,3,2.695
Small lab,15,1,0.952
Small lab,15,2,1.926
Small lab,15,3,2.874
Small lab,16,1,0.884
Small lab,16,2,1.822
Small lab,16,3,2.74
Small lab,17,1,0.925
Small lab,17,2,1.859
Small lab,17,3,2.803
Small lab,18,1,0.938
Small lab,18,2,1.861
Small lab,18,3,2.819
Small lab,19,1,0.971
Small lab,19,2,1.883
Small lab,19,3,2.787
Small lab,20,1,0.909
Small lab,20,2,1.833
Small lab,20,3,2.786
Small lab,21,1,0.92
Small lab,21,2,1.884
Small lab,21,3,2.833
Small lab,22,1,0.986
Small lab,22,2,1.896
Small lab,22,3,2.868
Small lab,23,1,0.931
Small lab,23,2,1.883
Small lab,23,3,2.867
Small lab,24,1,0.992
Small lab,24,2,1.955
Small lab,24,3,2.887
Small lab,25,1,0.972
Small lab,25,2,1.879
Small lab,25,3,2.84
Small lab,26,1,0.902
Small lab,26,2,1.845
Small lab,26,3,2.725
Small lab,27,1,0.977
Small lab,27,2,1.88
Small lab,27,3,2.819
Small lab,28,1,0.93
Small lab,28,2,1.82
Small lab,28,3,2.818
Small lab,29,1,0.91
Small lab,29,2,1.866
Small lab,29,3,2.773
Small lab,30,1,0.94
Small lab,30,2,1.825
Small lab,30,3,2.759
Small lab,31,1,0.919
Small lab,31,2,1.861
Small lab,31,3,2.809
Small lab,32,1,0.931
Small lab,32,2,1.843
Small lab,32,3,2.765
Small lab,33,1,0.935
Small lab,33,2,1.87
Small lab,33,3,2.825
Small lab,34,1,0.863
Small lab,34,2,1.83
Small lab,34,3,2.767
Small lab,35,1,0.947
Small lab,35,2,1.811
Small lab,35,3,2.759
Small lab,36,1,0.946
Small lab,36,2,1.897
Small lab,36,3,2.83
Small lab,37,1,0.927
Small lab,37,2,1.885
Small lab,37,3,2.792
Small lab,38,1,0.96
Small lab,38,2,1.848
Small lab,38,3,2.75
Small lab,39,1,0.927
Small lab,39,2,1.853
Small lab,39,3,2.864
Small lab,40,1,0.883
Small lab,40,2,1.905
Small lab,40,3,2.914
Small lab,41,1,0.915
Small lab,41,2,1.833
Small lab,41,3,2.77
Small lab,42,1,0.93
Small lab,42,2,1.841
Small lab,42,3,2.749
Small lab,43,1,0.89
Small lab,43,2,1.804
Small lab,43,3,2.722
Small lab,44,1,0.875
Small lab,44,2,1.824
Small lab,44,3,2.784
Small lab,45,1,0.933
Small lab,45,2,1.87
