lam_mult,delta_mult,pp_mult,median_k
0.8,0.8,0.8,7.51
0.8,0.8,1.0,9.38
0.8,0.8,1.2,11.26
0.8,1.0,0.8,6.9
0.8,1.0,1.0,8.62
0.8,1.0,1.2,10.35
0.8,1.2,0.8,6.36
0.8,1.2,1.0,7.94
0.8,1.2,1.2,9.54
1.0,0.8,0.8,9.38
1.0,0.8,1.0,11.73
1.0,0.8,1.2,14.07
1.0,1.0,0.8,8.63
1.0,1.0,1.0,10.78
1.0,1.0,1.2,12.94
1.0,1.2,0.8,7.95
1.0,1.2,1.0,9.93
1.0,1.2,1.2,11.91
1.2,0.8,0.8,11.26
1.2,0.8,1.0,14.06
1.2,0.8,1.2,16.89
1.2,1.0,0.8,10.36
1.2,1.0,1.0,12.94
1.2,1.0,1.2,15.53
1.2,1.2,0.8,9.54
1.2,1.2,1.0,11.92
1.2,1.2,1.2,14.3
